experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_014,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,14,2040,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,21,24.687216600053944,1.7546006454504095,19.300607099954505,11
S_vs_Laura_alternating_50,S_vs_Laura_game_014,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,14,2040,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,21,24.687216600053944,0.5385667499969713,5.385667499969713,10
S_vs_Laura_alternating_50,S_vs_Laura_game_015,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,15,2041,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,8,14.031639499997254,0.7850468249816913,3.1401872999267653,4
S_vs_Laura_alternating_50,S_vs_Laura_game_015,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,15,2041,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,8,14.031639499997254,2.7228089999989606,10.891235999995843,4
S_vs_Laura_alternating_50,S_vs_Laura_game_016,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,16,2042,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,loss,-1,42,35.16448030003812,1.275192209519446,26.779036399908364,21
S_vs_Laura_alternating_50,S_vs_Laura_game_016,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,16,2042,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,win,1,42,35.16448030003812,0.39917993809406954,8.38277869997546,21
S_vs_Laura_alternating_50,S_vs_Laura_game_017,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,17,2043,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,42,34.13910900003975,0.46035902857658495,9.667539600108285,21
S_vs_Laura_alternating_50,S_vs_Laura_game_017,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,17,2043,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,42,34.13910900003975,1.1651682571391575,24.468533399922308,21
S_vs_Laura_alternating_50,S_vs_Laura_game_018,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,18,2044,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,9,14.557735099981073,2.1662577999639323,10.831288999819662,5
S_vs_Laura_alternating_50,S_vs_Laura_game_018,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,18,2044,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,9,14.557735099981073,0.9315436750039225,3.72617470001569,4
