experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,laura_simulations,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_024,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,24,2050,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.838741099985782,0.004151713335886598,0.062275700038298965,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_025,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,25,2051,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.581478099978995,0.0037154499907046555,0.07430899981409311,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_025,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,25,2051,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.581478099978995,0.5252429249958368,10.504858499916736,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_026,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,26,2052,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.767933700000867,0.6468384333381739,9.70257650007261,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_026,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,26,2052,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.767933700000867,0.00425690000023072,0.0638535000034608,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_027,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,27,2053,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.89824489998864,0.0039355400018394,0.07871080003678799,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_027,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,27,2053,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.89824489998864,0.5408547500002896,10.817095000005793,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_028,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,28,2054,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.98519540001871,0.6614171999972314,9.92125799995847,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_028,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,28,2054,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.98519540001871,0.0041594466504951315,0.06239169975742698,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_029,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,29,2055,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.856678399955854,0.003749804996186867,0.07499609992373735,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_029,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,29,2055,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.856678399955854,0.5389727150002728,10.779454300005455,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_030,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,30,2056,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.698149200004991,0.6422971333377063,9.634457000065595,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_030,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,30,2056,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.698149200004991,0.004146753333043307,0.062201299995649606,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_031,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,31,2057,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.969078599999193,0.0037692150013754143,0.07538430002750829,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_031,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,31,2057,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.969078599999193,0.5445672150061001,10.891344300122,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_032,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,32,2058,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.767636900010984,0.6468338066712022,9.702507100068033,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_032,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,32,2058,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.767636900010984,0.004241033333043257,0.06361549999564886,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_033,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,33,2059,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.771300699969288,0.0037735300022177396,0.0754706000443548,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_033,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,33,2059,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.771300699969288,0.5346785599947907,10.693571199895814,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_034,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,34,2060,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.711293699976522,0.643144313346905,9.647164700203575,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_034,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,34,2060,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.711293699976522,0.004172373337981602,0.06258560006972402,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_035,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,35,2061,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.687491499993484,0.003732930001569912,0.07465860003139824,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_035,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,35,2061,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.687491499993484,0.5305288400006247,10.610576800012495,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_036,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,36,2062,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.699813499988522,0.6423445933304417,9.635168899956625,15
