experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_13,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,13,2039,agent_1,Agente con rollouts aleatorios,loss,-1,21,0.2952982000133488,7.158999505918473e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_14,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,14,2040,agent_1,Agente con rollouts aleatorios,win,1,9,0.1494113999942783,0.0292525600001681
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_14,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,14,2040,agent_1,Agente con rollouts aleatorios,loss,-1,9,0.1494113999942783,7.259999983943999e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_15,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,15,2041,agent_2,Random,loss,-1,20,0.3263599000056274,0.0314500799955567
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_15,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,15,2041,agent_2,Random,win,1,20,0.3263599000056274,9.967000223696232e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_16,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,16,2042,agent_1,Agente con rollouts aleatorios,win,1,17,0.2739259999943897,0.0296005111142423
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_16,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,16,2042,agent_1,Agente con rollouts aleatorios,loss,-1,17,0.2739259999943897,9.953749759006314e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_17,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,17,2043,agent_2,Random,loss,-1,18,0.332797400013078,0.0356167333310521
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_17,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,17,2043,agent_2,Random,win,1,18,0.332797400013078,0.0001872555585578
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_18,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,18,2044,agent_1,Agente con rollouts aleatorios,win,1,15,0.2252713999769184,0.027280537498882
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_18,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,18,2044,agent_1,Agente con rollouts aleatorios,loss,-1,15,0.2252713999769184,9.1914291260764e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_19,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,19,2045,agent_1,Agente con rollouts aleatorios,win,1,13,0.2212380999990273,0.0309110285722584
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_19,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,19,2045,agent_1,Agente con rollouts aleatorios,loss,-1,13,0.2212380999990273,9.159999899566174e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_20,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,20,2046,agent_2,Random,loss,-1,22,0.354480500012869,0.0312028545462949
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_20,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,20,2046,agent_2,Random,win,1,22,0.354480500012869,0.0001218454563058
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_21,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,21,2047,agent_1,Agente con rollouts aleatorios,win,1,17,0.2412454999866895,0.0260836222247841
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_21,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,21,2047,agent_1,Agente con rollouts aleatorios,loss,-1,17,0.2412454999866895,7.447499592672102e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_22,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,22,2048,agent_1,Agente con rollouts aleatorios,win,1,23,0.2627489999867975,0.0209368749977632
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_22,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,22,2048,agent_1,Agente con rollouts aleatorios,loss,-1,23,0.2627489999867975,8.14545359885828e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_23,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,23,2049,agent_1,Agente con rollouts aleatorios,win,1,25,0.3232313999906182,0.0237816538451275
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_23,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,23,2049,agent_1,Agente con rollouts aleatorios,loss,-1,25,0.3232313999906182,7.556665999193986e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_24,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,24,2050,agent_1,Agente con rollouts aleatorios,win,1,29,0.4069400999869685,0.0258693400052531
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_24,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,24,2050,agent_1,Agente con rollouts aleatorios,loss,-1,29,0.4069400999869685,8.079285492255752e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_25,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,25,2051,agent_1,Agente con rollouts aleatorios,win,1,23,0.3895295000111218,0.0316037500015227
