experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Mario_alternating_50,S_vs_Mario_game_016,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,16,2042,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.57155779999448,1.8898881750064902,7.559552700025961,4
S_vs_Mario_alternating_50,S_vs_Mario_game_016,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,16,2042,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.57155779999448,0.00393753331930687,0.011812599957920611,3
S_vs_Mario_alternating_50,S_vs_Mario_game_017,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,17,2043,Agente Mario,50,Winner,agent_1,Agente Mario,win,1,41,24.200343600008637,0.004295985716106813,0.09021570003824309,21
S_vs_Mario_alternating_50,S_vs_Mario_game_017,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,17,2043,Agente Mario,50,Winner,agent_1,Agente Mario,loss,-1,41,24.200343600008637,1.2053693000023487,24.107386000046972,20
S_vs_Mario_alternating_50,S_vs_Mario_game_018,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,18,2044,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.8244041000143625,1.9532732250081608,7.813092900032643,4
S_vs_Mario_alternating_50,S_vs_Mario_game_018,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,18,2044,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.8244041000143625,0.0037072999984957278,0.011121899995487183,3
S_vs_Mario_alternating_50,S_vs_Mario_game_019,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,19,2045,Agente Mario,50,Winner,draw,Draw,draw,0,42,24.66374160000123,0.004139447631868755,0.08692840026924387,21
S_vs_Mario_alternating_50,S_vs_Mario_game_019,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,19,2045,Agente Mario,50,Winner,draw,Draw,draw,0,42,24.66374160000123,1.1701959904721229,24.57411579991458,21
S_vs_Mario_alternating_50,S_vs_Mario_game_020,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,20,2046,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.759596100018825,1.936943724998855,7.74777489999542,4
S_vs_Mario_alternating_50,S_vs_Mario_game_020,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,20,2046,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.759596100018825,0.0038780999990801015,0.011634299997240305,3
S_vs_Mario_alternating_50,S_vs_Mario_game_021,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,21,2047,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,loss,-1,26,20.489852200029418,0.004739115381828294,0.06160849996376783,13
S_vs_Mario_alternating_50,S_vs_Mario_game_021,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,21,2047,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,win,1,26,20.489852200029418,1.5712978000072046,20.42687140009366,13
